price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,comes_furnished,laundry_options,parking_options
1334,apartment,790,1,1.0,1,1,1,0,0,,
1330,apartment,870,2,1.0,1,1,0,0,0,w/d in unit,
1350,flat,804,2,1.0,0,0,1,0,0,laundry in bldg,
800,apartment,750,1,1.0,1,1,1,0,0,laundry on site,street parking
1260,apartment,1100,2,2.0,1,1,0,0,1,w/d hookups,off-street parking
768,apartment,736,1,1.0,1,1,1,0,0,laundry on site,off-street parking
1300,apartment,755,1,1.0,1,1,1,0,0,w/d in unit,carport
2250,house,2600,5,3.0,0,0,0,0,1,w/d in unit,street parking
510,apartment,300,1,1.0,0,0,1,0,1,laundry in bldg,off-street parking
1349,apartment,1090,3,2.0,1,1,1,0,0,w/d in unit,carport
529,apartment,760,2,2.0,1,1,1,0,0,w/d in unit,
715,apartment,464,0,1.0,1,1,1,1,0,laundry on site,off-street parking
2350,house,2190,3,2.0,0,1,0,0,0,w/d in unit,attached garage
1340,apartment,1191,2,2.0,1,1,0,0,0,,
524,apartment,965,2,2.0,0,0,1,0,0,,
910,apartment,660,1,1.0,1,1,1,0,0,w/d in unit,off-street parking
889,apartment,600,1,1.0,1,1,1,0,0,laundry in bldg,off-street parking
1318,apartment,1163,2,2.0,1,1,0,1,0,w/d in unit,street parking
850,house,1000,3,1.0,0,0,1,0,0,,
1041,apartment,1195,3,2.0,1,1,1,0,0,w/d hookups,
1043,apartment,750,1,1.0,1,1,0,0,0,laundry in bldg,off-street parking
870,apartment,1206,3,2.0,1,1,1,0,0,,
1205,apartment,1479,3,2.0,1,1,1,0,0,,
1165,apartment,475,0,1.0,0,0,1,0,0,,
955,apartment,750,1,1.0,1,1,1,0,0,w/d in unit,off-street parking
2125,apartment,741,1,1.0,1,1,0,0,0,w/d in unit,
1199,apartment,782,1,1.0,1,1,0,0,0,w/d in unit,
799,apartment,920,1,1.0,1,1,1,0,0,w/d hookups,off-street parking
1504,apartment,953,2,1.0,1,1,1,0,0,w/d in unit,
1285,apartment,680,1,1.0,1,1,1,0,0,w/d in unit,carport
1454,apartment,976,2,2.0,1,1,1,0,0,w/d in unit,carport
950,apartment,858,2,2.0,0,0,1,0,0,,
989,apartment,959,3,0.0,1,1,1,0,0,,
1250,apartment,600,1,1.0,1,0,1,0,0,laundry in bldg,off-street parking
1546,apartment,785,1,1.0,1,1,1,0,0,w/d in unit,off-street parking
550,apartment,550,1,1.0,0,0,1,0,0,laundry in bldg,
838,apartment,1000,2,2.0,1,1,1,0,0,w/d hookups,off-street parking
1170,apartment,1034,2,2.0,1,1,0,0,0,w/d in unit,carport
1499,house,1250,3,2.0,1,1,1,0,0,w/d hookups,detached garage
914,apartment,1078,2,2.0,1,1,1,0,0,,
570,apartment,594,1,1.0,1,1,1,1,0,laundry on site,off-street parking
1250,house,1784,3,1.0,1,1,0,0,0,laundry in bldg,detached garage
1050,apartment,703,1,1.0,1,1,1,0,1,w/d in unit,carport
725,apartment,600,0,1.0,0,0,1,0,0,laundry in bldg,no parking
589,apartment,600,1,1.0,1,1,0,0,0,laundry on site,off-street parking
825,apartment,992,2,1.5,1,1,1,0,0,laundry on site,
795,apartment,1000,2,1.5,1,1,1,0,0,laundry in bldg,off-street parking
650,apartment,720,2,1.0,0,0,1,0,0,,
1112,apartment,1170,3,2.0,1,1,1,0,0,w/d in unit,
725,apartment,1200,2,2.0,1,1,0,0,0,w/d hookups,
1974,apartment,996,1,1.0,1,1,0,0,0,w/d in unit,attached garage
1429,apartment,1326,2,2.0,1,1,1,0,0,,no parking
669,apartment,573,1,1.0,1,1,1,0,0,laundry on site,off-street parking
538,house,1628,3,2.5,0,0,1,0,0,w/d in unit,attached garage
800,apartment,856,1,1.0,0,0,1,0,0,,
1100,apartment,751,1,1.5,0,0,1,0,0,laundry in bldg,detached garage
825,apartment,908,2,2.0,1,1,1,1,0,w/d in unit,detached garage
1240,apartment,1690,3,2.0,1,1,1,0,0,w/d hookups,off-street parking
995,apartment,530,0,1.0,0,0,1,0,0,w/d in unit,off-street parking
1277,apartment,1100,3,2.0,1,1,1,0,0,,
885,apartment,460,1,1.0,1,1,1,0,0,laundry in bldg,off-street parking
1320,apartment,1029,2,2.0,1,1,0,0,0,w/d in unit,street parking
1310,apartment,875,2,1.0,1,1,1,0,0,laundry on site,no parking
1714,apartment,884,2,1.0,1,1,1,0,0,w/d in unit,
624,apartment,1000,2,2.0,1,1,1,0,0,w/d in unit,street parking
1725,apartment,1050,3,1.0,0,0,1,0,0,laundry in bldg,street parking
1660,apartment,838,1,1.0,1,1,1,0,0,w/d in unit,detached garage
1100,apartment,790,1,1.0,1,1,1,0,0,,attached garage
850,apartment,850,1,1.0,1,1,1,0,0,,
755,apartment,675,1,1.0,0,0,1,0,0,,
770,apartment,683,1,1.0,1,1,1,0,0,w/d in unit,carport
1225,apartment,720,1,1.0,1,1,0,0,0,laundry in bldg,off-street parking
626,apartment,401,0,1.0,1,1,1,0,0,laundry on site,carport
929,apartment,1132,2,1.0,1,1,1,0,0,w/d hookups,off-street parking
1800,townhouse,1425,2,2.5,0,0,0,0,0,w/d in unit,attached garage
