ticker,exchange,assetType,priceCurrency,startDate,endDate
JEWL,,ETF,USD,,
JEXYF,PINK,Stock,USD,2007-08-06,2020-10-02
JEXYY,PINK,Stock,USD,2007-07-13,2020-10-02
JFACX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JFAIF,OTCGREY,Stock,USD,2016-01-08,2020-10-02
JFAIX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JFAMX,NMFQS,Mutual Fund,USD,2001-09-07,2020-10-02
JFARX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JFBC,OTCQB,Stock,USD,2001-01-02,2020-10-02
JFBF,OTCBB,Stock,USD,2014-10-13,2017-08-23
JFBHF,OTCGREY,Stock,USD,2007-09-13,2020-10-02
JFBI,NASDAQ,Stock,USD,,
JFBUX,NMFQS,Mutual Fund,USD,2017-08-18,2020-10-02
JFC,NYSE,ETF,USD,1992-07-16,2017-07-18
JFCAX,NMFQS,Mutual Fund,USD,2011-05-31,2020-10-02
JFCCX,NMFQS,Mutual Fund,USD,2014-06-30,2020-10-02
JFCIX,NMFQS,Mutual Fund,USD,2011-06-02,2020-10-02
JFCXX,NMFQS,Mutual Fund,USD,,
JFDRX,NMFQS,Mutual Fund,USD,2017-12-15,2020-10-02
JFEAX,NMFQS,Mutual Fund,USD,2001-09-27,2020-10-02
JFECX,NMFQS,Mutual Fund,USD,2015-01-08,2019-12-16
JFEEF,PINK,Stock,USD,2007-08-23,2020-10-02
JFEIX,NMFQS,Mutual Fund,USD,2001-09-10,2020-10-02
JFESX,NMFQS,Mutual Fund,USD,2001-09-10,2020-10-02
JFETX,NMFQS,Mutual Fund,USD,2015-01-08,2019-12-16
JFEUX,NMFQS,Mutual Fund,USD,2015-01-08,2019-12-16
JFFAX,NMFQS,Mutual Fund,USD,2012-01-31,2020-10-02
JFFCX,NMFQS,Mutual Fund,USD,2012-01-31,2020-10-02
JFFIX,NMFQS,Mutual Fund,USD,2012-01-31,2020-10-02
JFFPX,NMFQS,Mutual Fund,USD,2016-09-14,2020-10-02
JFFQX,NMFQS,Mutual Fund,USD,2016-09-14,2020-10-02
JFFRX,NMFQS,Mutual Fund,USD,2012-01-31,2020-10-02
JFFSX,NMFQS,Mutual Fund,USD,2012-01-31,2020-10-02
JFFYX,NMFQS,Mutual Fund,USD,2014-11-04,2020-10-02
JFGAX,NMFQS,Mutual Fund,USD,2012-06-29,2020-10-02
JFGFX,NMFQS,Mutual Fund,USD,2017-02-13,2020-10-02
JFGI,PINK,Stock,USD,1995-02-01,2019-08-30
JFGIX,NMFQS,Mutual Fund,USD,2012-06-29,2020-10-02
JFHYX,NMFQS,Mutual Fund,USD,2017-01-03,2020-10-02
JFIAX,NMFQS,Mutual Fund,USD,2007-12-31,2020-10-02
JFIBX,NMFQS,Mutual Fund,USD,2008-01-11,2020-10-02
JFICX,NMFQS,Mutual Fund,USD,2002-10-01,2020-10-02
JFIDX,NMFQS,Mutual Fund,USD,2008-01-02,2020-10-01
JFIFX,NMFQS,Mutual Fund,USD,2017-01-03,2020-10-02
JFIGX,NMFQS,Mutual Fund,USD,2007-12-31,2020-10-02
JFIHX,NMFQS,Mutual Fund,USD,2008-01-11,2020-10-02
JFIIX,NMFQS,Mutual Fund,USD,2007-12-31,2020-10-02
JFIL,OTCQB,Stock,USD,2013-05-08,2020-10-02
JFIN,NASDAQ,Stock,USD,2019-05-10,2020-10-02
JFINX,NMFQS,Mutual Fund,USD,1992-12-31,2020-10-02
JFIRX,NMFQS,Mutual Fund,USD,2011-08-31,2020-10-02
JFIVX,NMFQS,Mutual Fund,USD,2017-02-01,2020-10-02
JFKK,NASDAQ,Stock,USD,,
JFKKR,NASDAQ,Stock,USD,2019-05-16,2020-09-30
JFKKU,NASDAQ,Stock,USD,2019-03-28,2020-09-30
JFKOF,OTCMKTS,Stock,USD,2001-08-24,2018-02-05
JFLAX,NMFQS,Mutual Fund,USD,2011-06-02,2016-06-06
JFLCX,NMFQS,Mutual Fund,USD,2016-01-04,2019-12-30
JFLEX,NMFQS,Mutual Fund,USD,2005-11-30,2020-10-02
JFLGX,NMFQS,Mutual Fund,USD,,
JFLIX,NMFQS,Mutual Fund,USD,2011-06-02,2016-06-07
JFLJX,NMFQS,Mutual Fund,USD,2017-08-18,2020-10-02
JFLRX,NMFQS,Mutual Fund,USD,2016-01-04,2019-12-30
JFLVX,NMFQS,Mutual Fund,USD,2016-01-04,2019-12-30
JFMXX,NMFQS,Mutual Fund,USD,,
JFNAX,NMFQS,Mutual Fund,USD,2009-07-06,2020-10-02
JFNCX,NMFQS,Mutual Fund,USD,2009-07-06,2020-10-02
JFNIX,NMFQS,Mutual Fund,USD,2009-07-06,2020-10-02
JFNNX,NMFQS,Mutual Fund,USD,2018-01-29,2020-10-02
JFNSX,NMFQS,Mutual Fund,USD,2009-07-06,2020-10-02
JFOAX,NMFQS,Mutual Fund,USD,2017-07-05,2020-10-02
JFOCX,NMFQS,Mutual Fund,USD,2017-07-05,2020-10-02
JFOIX,NMFQS,Mutual Fund,USD,2017-12-18,2020-10-02
JFOOF,OTCGREY,Stock,USD,,
JFOSX,NMFQS,Mutual Fund,USD,2017-07-10,2020-10-02
JFQUX,NMFQS,Mutual Fund,USD,2017-08-18,2020-10-02
JFR,NYSE,ETF,USD,2004-03-25,2020-10-02
JFRDX,NMFQS,Mutual Fund,USD,2017-02-01,2020-10-02
JFRNX,NMFQS,Mutual Fund,USD,2012-05-31,2020-10-02
JFROF,PINK,Stock,USD,2013-11-04,2020-10-02
JFRPX,NMFQS,Mutual Fund,USD,,
JFRXX,NMFQS,Mutual Fund,USD,,
JFRZX,NMFQS,Mutual Fund,USD,,
JFTAX,NMFQS,Mutual Fund,USD,2001-04-30,2020-10-02
JFTIX,NMFQS,Mutual Fund,USD,2002-01-02,2016-12-08
JFTSF,OTCGREY,Stock,USD,2016-11-21,2020-10-02
JFTUX,NMFQS,Mutual Fund,USD,2017-08-18,2020-10-02
JFU,NASDAQ,Stock,USD,2019-08-15,2020-10-02
JFUAX,NMFQS,Mutual Fund,USD,2015-01-08,2019-12-16
JFVAX,NMFQS,Mutual Fund,USD,2011-06-02,2019-12-30
JFVCX,NMFQS,Mutual Fund,USD,2014-06-30,2019-12-30
JFVIX,NMFQS,Mutual Fund,USD,2011-05-31,2019-12-30
JFWV,PINK,Stock,USD,2006-08-14,2020-10-02
JG,NASDAQ,Stock,USD,2018-07-26,2020-10-02
JGACX,NMFQS,Mutual Fund,USD,2006-05-01,2020-10-02
JGAQX,NMFQS,Mutual Fund,USD,2017-07-31,2020-10-02
JGARX,NMFQS,Mutual Fund,USD,2007-01-12,2019-08-29
JGASX,NMFQS,Mutual Fund,USD,2006-05-01,2020-10-02
JGAUX,NMFQS,Mutual Fund,USD,2017-07-31,2020-10-02
JGAVX,NMFQS,Mutual Fund,USD,2017-07-31,2020-10-02
JGAXX,NMFQS,Mutual Fund,USD,,
JGBAX,NMFQS,Mutual Fund,USD,2010-12-28,2020-10-02
JGBB,NASDAQ,ETF,USD,2016-02-03,2016-09-30
JGBCX,NMFQS,Mutual Fund,USD,2010-12-28,2020-10-02
JGBD,NYSE ARCA,ETF,USD,2016-01-04,2016-09-27
JGBDX,NMFQS,Mutual Fund,USD,2010-12-28,2020-10-02
JGBIX,NMFQS,Mutual Fund,USD,2010-12-28,2020-10-02
JGBL,NYSE ARCA,ETF,USD,2016-01-20,2016-09-27
JGBLX,NMFQS,Mutual Fund,USD,,
JGBO,NASDAQ,Stock,USD,2011-08-04,2013-07-01
JGBS,NYSE ARCA,ETF,USD,2016-01-04,2016-09-27
JGBSX,NMFQS,Mutual Fund,USD,2010-12-28,2020-10-02
JGBT,NYSE ARCA,ETF,USD,2016-01-11,2016-09-27
JGBZX,NMFQS,Mutual Fund,USD,2008-11-03,2020-10-02
JGCAX,NMFQS,Mutual Fund,USD,2009-07-06,2020-10-02
JGCCF,PINK,Stock,USD,2009-02-24,2020-10-02
JGCCX,NMFQS,Mutual Fund,USD,2009-07-06,2020-10-02
JGCCY,PINK,Stock,USD,2011-03-09,2020-10-02
JGCGX,NMFQS,Mutual Fund,USD,2014-11-07,2020-10-02
JGCIX,NMFQS,Mutual Fund,USD,2009-07-06,2020-10-02
JGCSX,NMFQS,Mutual Fund,USD,2009-07-06,2020-10-02
JGCTX,NMFQS,Mutual Fund,USD,2017-06-09,2018-11-21
JGCXX,NMFQS,Mutual Fund,USD,,
JGDAX,NMFQS,Mutual Fund,USD,2011-12-15,2020-10-02
JGDCX,NMFQS,Mutual Fund,USD,2011-12-15,2020-10-02
JGDDX,NMFQS,Mutual Fund,USD,2011-12-15,2020-10-02
JGDIX,NMFQS,Mutual Fund,USD,2011-12-15,2020-10-02
JGDSX,NMFQS,Mutual Fund,USD,2011-12-15,2020-10-02
JGDXX,NMFQS,Mutual Fund,USD,,
JGDZX,NMFQS,Mutual Fund,USD,,
JGECX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JGEFX,NMFQS,Mutual Fund,USD,2014-01-02,2020-10-02
JGEIX,NMFQS,Mutual Fund,USD,2007-01-03,2015-06-16
JGEMX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JGERX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JGETX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JGEZX,NMFQS,Mutual Fund,USD,2000-11-14,2019-09-17
JGFCD,OTCMKTS,Stock,USD,2003-07-31,2018-07-23
JGFCF,OTCGREY,Stock,USD,2017-09-29,2020-10-02
JGFDX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-30
JGFEX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-30
JGFGX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-30
JGFOX,NMFQS,Mutual Fund,USD,2017-01-03,2019-12-30
JGGNX,NMFQS,Mutual Fund,USD,2017-08-04,2020-10-02
JGGRF,OTCMKTS,Stock,USD,2017-01-13,2017-11-27
JGH,NYSE,ETF,USD,2014-11-24,2020-10-02
JGHAF,OTCGREY,Stock,USD,2016-08-05,2020-10-02
JGHG,PINK,Stock,USD,2010-03-01,2020-10-02
JGHHY,OTCGREY,Stock,USD,2020-05-29,2020-10-02
JGHTX,NMFQS,Mutual Fund,USD,2017-01-03,2020-10-02
JGIAX,NMFQS,Mutual Fund,USD,2014-11-07,2020-10-02
JGICX,NMFQS,Mutual Fund,USD,2002-10-01,2020-10-02
JGIFX,NMFQS,Mutual Fund,USD,2017-01-03,2020-10-02
JGINX,NMFQS,Mutual Fund,USD,2005-11-30,2020-10-02
JGIPX,NMFQS,Mutual Fund,USD,,
JGIRX,NMFQS,Mutual Fund,USD,2006-05-15,2020-10-02
JGISX,NMFQS,Mutual Fund,USD,2016-01-04,2020-10-02
JGITX,NMFQS,Mutual Fund,USD,2017-06-09,2018-11-21
JGIZX,NMFQS,Mutual Fund,USD,,
JGLCF,PINK,Stock,USD,2020-03-31,2020-10-02
JGLDF,OTCQB,Stock,USD,2016-09-19,2020-10-02
JGLMY,OTCMKTS,Stock,USD,,
JGLNX,NMFQS,Mutual Fund,USD,2013-10-31,2020-10-02
JGLPX,NMFQS,Mutual Fund,USD,,
JGLTX,NMFQS,Mutual Fund,USD,2000-01-18,2020-10-02
JGLYX,NMFQS,Mutual Fund,USD,2017-07-31,2020-10-02
JGLZX,NMFQS,Mutual Fund,USD,,
JGMAX,NMFQS,Mutual Fund,USD,2005-08-04,2020-10-02
JGMCX,NMFQS,Mutual Fund,USD,2005-08-04,2020-10-02
JGMIX,NMFQS,Mutual Fund,USD,2005-08-04,2020-10-02
JGMNX,NMFQS,Mutual Fund,USD,2012-05-31,2020-10-02
JGMRX,NMFQS,Mutual Fund,USD,2005-08-04,2020-10-02
JGMXX,NMFQS,Mutual Fund,USD,,
JGNAX,NMFQS,Mutual Fund,USD,2010-11-30,2015-11-20
JGNCX,NMFQS,Mutual Fund,USD,2010-11-30,2015-09-14
JGNRX,NMFQS,Mutual Fund,USD,2010-11-30,2015-11-20
JGNSX,NMFQS,Mutual Fund,USD,2010-11-30,2015-11-20
JGNXX,NMFQS,Mutual Fund,USD,,
JGNZX,NMFQS,Mutual Fund,USD,2010-11-30,2015-11-20
JGOCX,NMFQS,Mutual Fund,USD,2010-01-04,2017-04-28
JGORX,NMFQS,Mutual Fund,USD,2010-01-04,2017-04-28
JGPAX,NMFQS,Mutual Fund,USD,2005-03-01,2015-11-20
